link,name,party,phonenumber,region,twitter
https://members.parliament.uk/member/4069/contact,Peter Aldous,Conservative,020 7219 7182,Hackney North and Stoke Newington,https://twitter.com/peter_aldous
https://members.parliament.uk/member/4741/contact,Nickie Aiken,Conservative,0207 219 4553,Hackney North and Stoke Newington,https://twitter.com/twocitiesnickie
https://members.parliament.uk/member/4841/contact,Imran Ahmad Khan,Independent,0207 219 3000,Hackney North and Stoke Newington,https://twitter.com/imranahmadkhan
https://members.parliament.uk/member/1586/contact,Adam Afriyie,Conservative,020 7219 8023,Hackney North and Stoke Newington,https://twitter.com/AdamAfriyie
https://members.parliament.uk/member/4639/contact,Bim Afolami,Conservative,bim.afolami.mp@parliament.uk,Hackney North and Stoke Newington,https://twitter.com/BimAfolami
https://members.parliament.uk/member/4057/contact,Nigel Adams,Conservative,020 7219 7141,Hackney North and Stoke Newington,
https://members.parliament.uk/member/4212/contact,Debbie Abrahams,Labour,020 7219 1041 Fax: 0207 219 2405,Hackney North and Stoke Newington,https://twitter.com/Debbie_abrahams
https://members.parliament.uk/member/172/contact,Ms Diane Abbott,Labour,020 7219 4426,Hackney North and Stoke Newington,https://twitter.com/HackneyAbbott
https://members.parliament.uk/member/4623/contact,Tonia Antoniazzi,Labour,0207 219 1199,Hackney North and Stoke Newington,https://twitter.com/ToniaAntoniazzi
https://members.parliament.uk/member/4512/contact,Caroline Ansell,Conservative,020 7219 3000,Hackney North and Stoke Newington,https://twitter.com/caroline_ansell
https://members.parliament.uk/member/4032/contact,Stuart Andrew,Conservative,020 7219 7130,Hackney North and Stoke Newington,https://twitter.com/stuartandrew
https://members.parliament.uk/member/4742/contact,Stuart Anderson,Conservative,0207 219 3000,Hackney North and Stoke Newington,
https://members.parliament.uk/member/4743/contact,Lee Anderson,Conservative,0207 219 3000,Hackney North and Stoke Newington,
https://members.parliament.uk/member/4788/contact,Fleur Anderson,Labour,0207 219 3000,Hackney North and Stoke Newington,
https://members.parliament.uk/member/44/contact,Sir David Amess,Conservative,020 7219 3452,Hackney North and Stoke Newington,https://twitter.com/amessd_southend
https://members.parliament.uk/member/4667/contact,Mike Amesbury,Labour,0207 219 2072,Hackney North and Stoke Newington,https://twitter.com/MikeAmesburymp
https://members.parliament.uk/member/4573/contact,Dr Rosena Allin-Khan,Labour,020 3621 2509,Hackney North and Stoke Newington,https://twitter.com/DrRosena
https://members.parliament.uk/member/4411/contact,Lucy Allan,Conservative,020 7219 4815,Hackney North and Stoke Newington,https://twitter.com/lucyallan
https://members.parliament.uk/member/4747/contact,Tahir Ali,Labour,0207 219 3000,Hackney North and Stoke Newington,
https://members.parliament.uk/member/4138/contact,Rushanara Ali,Labour,020 7219 7200,Hackney North and Stoke Newington,https://twitter.com/rushanaraali
https://members.parliament.uk/member/4107/contact,Harriett Baldwin,Conservative,020 7219 3000,Charnwood,https://twitter.com/HBaldwinMP
https://members.parliament.uk/member/4064/contact,Mr Steve Baker,Conservative,020 7219 3547,Charnwood,https://twitter.com/stevebakerhw
https://members.parliament.uk/member/4784/contact,Duncan Baker,Conservative,0207 219 3000,Charnwood,
https://members.parliament.uk/member/4847/contact,Siobhan Baillie,Conservative,0207 219 3000,Charnwood,
https://members.parliament.uk/member/4790/contact,Apsana Begum,Labour,0207 219 6826,Charnwood,
https://members.parliament.uk/member/328/contact,Margaret Beckett,Labour,020 7219 5135; 020 7219 2088; Fax 020 7219 4780,Charnwood,
https://members.parliament.uk/member/4800/contact,Simon Baynes,Conservative,0207 219 3000,Charnwood,https://twitter.com/baynes_simon
https://members.parliament.uk/member/1390/contact,Mr John Baron,Conservative,020 7219 8138,Charnwood,
https://members.parliament.uk/member/4828/contact,Paula Barker,Labour,0207 219 3000,Charnwood,
https://members.parliament.uk/member/4486/contact,Hannah Bardell,Scottish National Party,020 7219 5907,Charnwood,https://twitter.com/hannahb4livimp
https://members.parliament.uk/member/4095/contact,Steve Barclay,Conservative,020 7219 7117,Charnwood,https://twitter.com/SteveBarclayMP
https://members.parliament.uk/member/4757/contact,Shaun Bailey,Conservative,0121 389 4419,Charnwood,https://twitter.com/shaun4wbw
https://members.parliament.uk/member/4597/contact,Kemi Badenoch,Conservative,0207 219 1943,Charnwood,https://twitter.com/KemiBadenoch
https://members.parliament.uk/member/1451/contact,Mr Richard Bacon,Conservative,020 7219 8301,Charnwood,
https://members.parliament.uk/member/4798/contact,Gareth Bacon,Conservative,0207 219 6806,Charnwood,https://twitter.com/garethbaconmp
https://members.parliament.uk/member/4399/contact,Victoria Atkins,Conservative,020 7219 5897,Charnwood,
https://members.parliament.uk/member/4855/contact,Sarah Atherton,Conservative,0207 219 4885,Charnwood,
https://members.parliament.uk/member/4244/contact,Jonathan Ashworth,Labour (Co-op),0207 219 3000,Charnwood,https://twitter.com/JonAshworth
https://members.parliament.uk/member/4110/contact,Karen Bradley,Conservative,020 7219 7215,Newcastle-under-Lyme,
https://members.parliament.uk/member/4663/contact,Ben Bradley,Conservative,0207 219 3594,Newcastle-under-Lyme,https://twitter.com/bbradleymp
https://members.parliament.uk/member/4601/contact,Andrew Bowie,Conservative,0207 219 2791,Newcastle-under-Lyme,
https://members.parliament.uk/member/117/contact,Sir Peter Bottomley,Conservative,020 7219 5060,Newcastle-under-Lyme,
https://members.parliament.uk/member/4748/contact,Steven Bonnar,Scottish National Party,0207 219 3000,Newcastle-under-Lyme,
https://members.parliament.uk/member/1581/contact,Mr Peter Bone,Conservative,020 7219 8496,Newcastle-under-Lyme,https://twitter.com/PeterBoneMP
https://members.parliament.uk/member/104/contact,Crispin Blunt,Conservative,020 7219 2254,Newcastle-under-Lyme,https://twitter.com/crispinbluntmp
https://members.parliament.uk/member/4058/contact,Paul Blomfield,Labour,020 7219 7142,Newcastle-under-Lyme,https://twitter.com/PaulBlomfieldMP
https://members.parliament.uk/member/4864/contact,Olivia Blake,Labour,0207 219 3552,Newcastle-under-Lyme,https://twitter.com/_oliviablake
https://members.parliament.uk/member/4357/contact,Kirsty Blackman,Scottish National Party,020 7219 8791,Newcastle-under-Lyme,https://twitter.com/KirstySNP
https://members.parliament.uk/member/4005/contact,Bob Blackman,Conservative,020 7219 7082,Newcastle-under-Lyme,https://twitter.com/BobBlackmanMP
https://members.parliament.uk/member/4390/contact,Ian Blackford,Scottish National Party,0207 219 3494,Newcastle-under-Lyme,
https://members.parliament.uk/member/4421/contact,Mhairi Black,Scottish National Party,020 7219 5558,Newcastle-under-Lyme,https://twitter.com/MhairiBlack
https://members.parliament.uk/member/4818/contact,Saqib Bhatti,Conservative,0207 219 3423,Newcastle-under-Lyme,https://twitter.com/bhatti_saqib
https://members.parliament.uk/member/394/contact,Mr Clive Betts,Labour,020 7219 5114,Newcastle-under-Lyme,
https://members.parliament.uk/member/4060/contact,Jake Berry,Conservative,020 7219 7214,Newcastle-under-Lyme,https://twitter.com/jakeberry
